Threads,GraphSize,Time(ms),BestPathLen
1,500,36909,1431892
1,600,44387,2075564
1,700,53049,2232340
1,800,58691,2810656
1,900,46794,2968174
1,1000,52181,3442220
2,500,10835,1631506
2,600,13301,1905724
2,700,14994,2302854
2,800,18050,2701344
2,900,19056,2928494
2,1000,22174,3223152
3,500,10147,1593686
3,600,12520,1943690
3,700,13648,2294226
3,800,16934,2606856
3,900,18909,2973978
3,1000,24080,3356020
4,500,12001,1539332
4,600,13883,1857284
4,700,15648,2397416
4,800,19093,2601428
4,900,19674,2790840
4,1000,21652,3279264
8,500,11529,1607500
8,600,13807,1917346
8,700,15974,2333250
8,800,17856,2562834
8,900,20030,2869338
8,1000,22369,3212932
