Processes,Threads,GenerationSize,ExecutionTime,BestPathLength
2,4,500,14.276600,2485334
2,4,1000,27.851333,2434714
2,4,2500,70.106538,2277794
2,4,5000,139.517168,2393854
2,4,7500,209.029252,2402656
2,4,10000,279.690410,2349436
4,2,500,7.003568,2382868
4,2,1000,13.966765,2293062
4,2,2500,35.038874,2189122
4,2,5000,70.208421,2297752
4,2,7500,105.887132,2407976
4,2,10000,140.117802,2405470
8,1,500,3.484199,2326302
8,1,1000,6.948283,2298522
8,1,2500,17.393886,2259314
8,1,5000,34.975857,2385910
8,1,7500,52.309873,2358982
8,1,10000,69.516822,2360370
