Threads,GenerationSize,ExecutionTime,BestPathLen
1,500,16330,2416746
1,1000,32173,2342400
1,2500,79929,2445830
1,5000,159724,2425996
1,7500,240292,2501542
1,10000,315154,2612300
2,500,8709,2457674
2,1000,17496,2324972
2,2500,42692,2416002
2,5000,86604,2303670
2,7500,125591,2409042
2,10000,167687,2378540
3,500,8531,2279856
3,1000,16988,2350748
3,2500,42070,2451348
3,5000,87733,2439692
3,7500,126914,2492588
3,10000,165895,2456346
4,500,8257,2403660
4,1000,16513,2494022
4,2500,41018,2383072
4,5000,83023,2409442
4,7500,123778,2332506
4,10000,152704,2426976
8,500,7708,2479134
8,1000,15190,2422752
8,2500,38081,2397616
8,5000,76736,2501662
8,7500,115796,2404142
8,10000,154571,2420810
